timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688653480744,270,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1336938,30787,5,5,null,43,306,0
1688653481623,217,S01_T01_Open_HomePage,200,OK,Thread Group 1-3,text,true,,1336937,30787,5,5,http://localhost/,59,0,0
1688653481623,99,S01_T01_Open_HomePage-0,200,OK,Thread Group 1-3,text,true,,53090,489,5,5,http://localhost/,59,0,0
1688653481732,3,S01_T01_Open_HomePage-1,200,OK,Thread Group 1-3,text,true,,59325,691,5,5,http://localhost/wp-includes/css/dashicons.min.css?ver=6.2.2,3,0,0
1688653481732,3,S01_T01_Open_HomePage-2,200,OK,Thread Group 1-3,text,true,,61441,746,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/css/al_product.min.css?timestamp=1680638387&ver=6.2.2,2,0,0
1688653481732,3,S01_T01_Open_HomePage-3,200,OK,Thread Group 1-3,text,true,,18487,762,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/css/shopping-cart.min.css?timestamp=1680638387&ver=6.2.2,3,0,0
1688653481732,6,S01_T01_Open_HomePage-4,200,OK,Thread Group 1-3,text,true,,7809,773,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/ext/formbuilder/dist/ic-form.min.css?timestamp=1680638387&ver=6.2.2,5,0,1
1688653481732,3,S01_T01_Open_HomePage-5,200,OK,Thread Group 1-3,text,true,,2231,760,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/variations/css/variations-front.css?ver=6.2.2,3,0,0
1688653481732,5,S01_T01_Open_HomePage-6,200,OK,Thread Group 1-3,text,true,,97827,706,5,5,http://localhost/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2,3,0,0
1688653481736,2,S01_T01_Open_HomePage-7,200,OK,Thread Group 1-3,text,true,,790,757,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/includes/blocks/ic-blocks.min.css?timestamp=1680638387&ver=6.2.2,2,0,0
1688653481736,2,S01_T01_Open_HomePage-8,200,OK,Thread Group 1-3,text,true,,597,696,5,5,http://localhost/wp-includes/css/classic-themes.min.css?ver=6.2.2,2,0,0
1688653481736,7,S01_T01_Open_HomePage-9,200,OK,Thread Group 1-3,text,true,,228375,695,5,5,http://localhost/wp-content/themes/best-shop/style.css?ver=6.2.2,2,0,0
1688653481736,104,S01_T01_Open_HomePage-10,200,OK,Thread Group 1-3,text,true,,11318,644,5,5,https://fonts.googleapis.com/css?family=Poppins%3A300%2C300i%2C400%2C400i%2C700%2C700i%7CPoppins%3A300%2C300i%2C400%2C400i%2C500%2C500i%2C600%2C600i&subset=latin%2Clatin-ext,99,0,0
1688653481738,2,S01_T01_Open_HomePage-11,200,OK,Thread Group 1-3,text,true,,21360,703,5,5,http://localhost/wp-content/themes/best-shop/css/bootstrap.css?ver=6.2.2,2,0,0
1688653481738,2,S01_T01_Open_HomePage-12,200,OK,Thread Group 1-3,text,true,,5915,702,5,5,http://localhost/wp-content/themes/shop-woocommerce/style.css?ver=6.2.2,2,0,0
1688653481738,7,S01_T01_Open_HomePage-13,200,OK,Thread Group 1-3,text,true,,90140,693,5,5,http://localhost/wp-includes/js/jquery/jquery.min.js?ver=3.6.4,4,0,1
